OID_,Long,Lat,Stn_Name,Clim_ID,Prov,AvgTempDegC_,Northing,Easting
6,-66.537000000000006,45.869000000000000,FREDERICTON,8101505,NB,7.750000000000000,7429866.332100000232458,2497127.196600001305342
7,-66.430000000000007,45.829999999999998,GAGETOWN A,8101792,NB,7.912500000000000,7425533.515200000256300,2505438.646800000220537
8,-66.802000000000007,44.712000000000003,GRAND MANAN SAR CS,8101925,NB,8.262499999999999,7301320.677299998700619,2476065.524599999189377
10,-65.465000000000003,47.009000000000000,MIRAMICHI RCS,8100989,NB,8.387499999999999,7557095.627700001001358,2578698.018100000917912
14,-67.715999999999994,46.712000000000003,AROOSTOOK,8100300,NB,8.824999999999999,7524280.390900000929832,2407029.971900001168251
15,-64.679000000000002,46.112000000000002,MONCTON INTL A,8103201,NB,9.775000000000000,7458490.997499998658895,2640758.191500000655651
16,-64.768000000000001,46.430000000000000,BUCTOUCHE CDA CS,8100593,NB,9.925000000000001,7493676.989999998360872,2633105.746700000017881
17,-66.608999999999995,45.920000000000002,FREDERICTON CDA CS,8101605,NB,10.000000000000000,7435539.739000000059605,2491544.799899999052286
18,-66.450000000000003,45.838999999999999,GAGETOWN AWOS A,8101794,NB,10.412500000000000,7426532.619500000029802,2503884.097699999809265
